Filename,Predicted_Time
xa.s16.00.mhz.1973-08-25HR00_evid00443.mseed,24480.106428571427
xa.s16.00.mhz.1973-12-18HR00_evid00487.mseed,70147.7492857143
xa.s16.00.mhz.1974-11-14HR00_evid00587.mseed,69714.90857142858
xa.s16.00.mhz.1972-09-10HR00_evid00075.mseed,47237.43761904761
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,15175.601428571426
xa.s16.00.mhz.1972-11-08HR00_evid00080.mseed,66777.88571428572
xa.s16.00.mhz.1972-11-14HR00_evid00081.mseed,34487.75357142857
xa.s16.00.mhz.1973-07-31HR00_evid00123.mseed,35753.13357142857
xa.s16.00.mhz.1974-05-19HR00_evid00146.mseed,64183.25476190477
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,57734.902619047614
xa.s16.00.mhz.1974-12-12HR02_evid00168.mseed,56032.09428571428
xa.s16.00.mhz.1974-12-15HR00_evid00172.mseed,28014.95
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,64398.342619047624
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,30988.555
xa.s16.00.mhz.1975-03-26HR00_evid00186.mseed,7857.427857142857
xa.s16.00.mhz.1977-04-17HR00_evid00249.mseed,75368.98928571428
xa.s16.00.mhz.1977-06-02HR00_evid00255.mseed,52120.50547619047
xa.s15.00.mhz.1974-02-06HR00_evid00497.mseed,10670.106428571427
xa.s15.00.mhz.1974-06-16HR00_evid00536.mseed,70595.57976190475
xa.s15.00.mhz.1974-06-30HR00_evid00542.mseed,32632.698571428573
xa.s15.00.mhz.1974-08-04HR00_evid00557.mseed,48621.72071428571
xa.s15.00.mhz.1975-05-20HR00_evid00653.mseed,57746.84619047619
xa.s15.00.mhz.1973-04-04HR00_evid00098.mseed,58820.557857142856
xa.s15.00.mhz.1973-08-10HR00_evid00126.mseed,62069.62619047619
xa.s15.00.mhz.1973-10-27HR00_evid00134.mseed,39398.280714285705
xa.s15.00.mhz.1974-10-19HR00_evid00157.mseed,70300.8669047619
xa.s15.00.mhz.1974-11-17HR00_evid00162.mseed,71079.84785714286
xa.s15.00.mhz.1974-11-21HR00_evid00166.mseed,51892.572142857134
xa.s15.00.mhz.1974-12-15HR00_evid00169.mseed,28824.81
xa.s15.00.mhz.1974-12-15HR00_evid00170.mseed,28824.81
xa.s15.00.mhz.1975-04-12HR00_evid00190.mseed,63968.368571428575
xa.s15.00.mhz.1975-06-22HR00_evid00194.mseed,70125.08071428571
xa.s12.00.mhz.1969-12-16HR00_evid00006.mseed,41381.17928571429
xa.s12.00.mhz.1970-01-09HR00_evid00007.mseed,51496.65285714286
xa.s12.00.mhz.1970-02-07HR00_evid00014.mseed,53251.72714285715
xa.s12.00.mhz.1970-02-18HR00_evid00016.mseed,45971.73261904761
xa.s12.00.mhz.1970-03-14HR00_evid00018.mseed,47164.635
xa.s12.00.mhz.1970-03-30HR00_evid00020.mseed,22535.977142857144
xa.s12.00.mhz.1970-04-03HR00_evid00021.mseed,42179.977857142854
xa.s12.00.mhz.1970-05-20HR00_evid00026.mseed,62537.14261904762
xa.s12.00.mhz.1970-05-23HR00_evid00027.mseed,45792.38261904761
xa.s12.00.mhz.1970-05-24HR00_evid00028.mseed,16689.495714285713
xa.s12.00.mhz.1970-05-25HR00_evid00029.mseed,46264.98285714285
xa.s12.00.mhz.1970-06-19HR00_evid00031.mseed,64191.548571428575
xa.s12.00.mhz.1970-07-17HR00_evid00035.mseed,25436.691428571427
xa.s12.00.mhz.1970-07-18HR00_evid00036.mseed,30033.505714285715
xa.s12.00.mhz.1970-07-20HR00_evid00037.mseed,29074.00142857143
xa.s12.00.mhz.1970-07-27HR00_evid00039.mseed,16692.247142857144
xa.s12.00.mhz.1970-09-09HR00_evid00043.mseed,49401.725
xa.s12.00.mhz.1970-10-26HR00_evid00049.mseed,55155.42976190476
xa.s12.00.mhz.1970-11-03HR00_evid00050.mseed,62502.36261904761
xa.s12.00.mhz.1970-11-03HR00_evid00051.mseed,62502.36261904761
xa.s12.00.mhz.1971-01-03HR00_evid00057.mseed,41391.349285714285
xa.s12.00.mhz.1971-01-05HR00_evid00059.mseed,4637.206428571429
xa.s12.00.mhz.1971-01-17HR00_evid00060.mseed,64046.33333333334
xa.s12.00.mhz.1971-03-15HR00_evid00073.mseed,24302.45
xa.s12.00.mhz.1971-04-08HR01_evid00083.mseed,27862.06714285714
xa.s12.00.mhz.1971-05-22HR00_evid00092.mseed,64235.036190476196
xa.s12.00.mhz.1971-06-11HR00_evid00096.mseed,50376.69428571429
xa.s12.00.mhz.1971-06-27HR00_evid00101.mseed,68730.0611904762
xa.s12.00.mhz.1971-10-06HR00_evid00124.mseed,69987.95987012987
xa.s12.00.mhz.1971-10-06HR00_evid00125.mseed,69987.95987012987
xa.s12.00.mhz.1971-10-26HR00_evid00133.mseed,19076.97
xa.s12.00.mhz.1971-11-24HR00_evid00156.mseed,59809.37619047621
xa.s12.00.mhz.1972-01-26HR00_evid00186.mseed,53026.17071428571
xa.s12.00.mhz.1972-02-21HR00_evid00190.mseed,64483.51142857144
xa.s12.00.mhz.1972-02-28HR00_evid00192.mseed,46820.17261904761
xa.s12.00.mhz.1972-05-15HR00_evid00223.mseed,62100.69547619048
xa.s12.00.mhz.1972-05-19HR00_evid00228.mseed,58015.809761904755
xa.s12.00.mhz.1972-11-14HR00_evid00331.mseed,70443.08547619049
xa.s12.00.mhz.1972-11-19HR00_evid00335.mseed,64471.16
xa.s12.00.mhz.1972-12-02HR00_evid00341.mseed,32960.26571428571
xa.s12.00.mhz.1972-12-06HR00_evid00342.mseed,52578.06
xa.s12.00.mhz.1972-12-15HR00_evid00349.mseed,29625.767857142855
xa.s12.00.mhz.1973-03-12HR00_evid00384.mseed,70429.83214285715
xa.s12.00.mhz.1973-04-23HR00_evid00399.mseed,48938.95761904762
xa.s12.00.mhz.1973-08-08HR00_evid00437.mseed,62971.30261904761
xa.s12.00.mhz.1973-10-03HR03_evid00461.mseed,61321.81476190476
xa.s12.00.mhz.1973-10-10HR00_evid00463.mseed,13566.124285714284
xa.s12.00.mhz.1973-11-22HR00_evid00475.mseed,50915.7
xa.s12.00.mhz.1974-03-14HR00_evid00506.mseed,29518.101428571426
xa.s12.00.mhz.1974-03-30HR00_evid00512.mseed,63714.953571428574
xa.s12.00.mhz.1974-05-09HR00_evid00522.mseed,50632.545
xa.s12.00.mhz.1974-06-30HR00_evid00543.mseed,61853.60190476191
xa.s12.00.mhz.1974-07-25HR05_evid00553.mseed,32402.571428571428
xa.s12.00.mhz.1974-10-02HR00_evid00572.mseed,51098.47428571429
xa.s12.00.mhz.1975-04-21HR00_evid00638.mseed,10163.642857142859
xa.s12.00.mhz.1975-05-16HR00_evid00651.mseed,79115.8712987013
xa.s12.00.mhz.1975-05-20HR00_evid00652.mseed,61585.209761904756
xa.s12.00.mhz.1975-06-15HR00_evid00660.mseed,16809.455714285716
xa.s12.00.mhz.1975-06-17HR00_evid00662.mseed,47304.406904761905
xa.s12.00.mhz.1977-04-11HR00_evid00915.mseed,51135.955
xa.s12.00.mhz.1977-04-24HR00_evid00923.mseed,57806.15214285714
xa.s12.00.mhz.1977-04-26HR00_evid00924.mseed,61814.86142857143
xa.s12.00.mhz.1977-07-19HR00_evid00991.mseed,66024.50214285715
xa.s12.00.mhz.1977-09-13HR00_evid01012.mseed,69778.69785714285
